Politician,Party,State,Polarity,Relative Polarity
Edward J. Markey,Democrat,Massachusetts,0.2586971999999999,0.6376319881657093
Roger Marshall,Republican,Kansas,0.14333279999999987,0.4821500435187284
Mitch McConnell,Republican,Kentucky,0.053157199999999946,0.3606162111778306
Bob Menendez,Democrat,New Jersey,0.2612067999999999,0.6410142923105414
Jeff Merkley,Democrat,Oregon,0.19277740000000004,0.5487888208217104
Jerry Moran,Republican,Kansas,0.34242560000000005,0.7504766304832726
Lisa Murkowski,Republican,Alaska,0.3767977999999999,0.7968016362718428
Christopher Murphy,Democrat,Connecticut,0.08596579999999997,0.4048338808328103
Patty Murray,Democrat,Washington,0.3440287999999997,0.7526373373708218
Jon Ossoff,Democrat,Georgia,0.34645260000000005,0.7559040048820768
Alex Padilla,Democrat,California,0.36355299999999996,0.7789510059174153
Rand Paul,Republican,Kentucky,0.11149919999999999,0.43924642651804097
Gary C. Peters,Democrat,Michigan,0.46639140000000007,0.9175510802591019
Rob Portman,Republican,Ohio,0.21221999999999994,0.5749925132692365
Jack Reed,Democrat,Rhode Island,0.5275667999999997,1.0
James E. Risch,Republican,Idaho,0.22969340000000002,0.5985422236789866
Mitt Romney,Republican,Utah,0.38101179999999985,0.8024810392310083
Jacky Rosen,Democrat,Nevada,0.4241537999999996,0.8606255106273838
Mike Rounds,Republican,South Dakota,0.37894020000000017,0.7996890479708741
Marco Rubio,Republican,Florida,-0.21441259999999995,0.0
Bernard Sanders,Independent,Vermont,0.12280479999999978,0.45448350722405484
Ben Sasse,Republican,Nebraska,0.1365371999999998,0.47299129868025974
Brian Schatz,Democrat,Hawaii,0.3359288000000005,0.7417205922428584
Charles E. Schumer,Democrat,New York,0.32725819999999967,0.7300348230692119
Rick Scott,Republican,Florida,-0.08366719999999991,0.17621163067330456
Tim Scott,Republican,South Carolina,0.24212540000000013,0.615297405830944
Jeanne Shaheen,Democrat,New Hampshire,0.3869614000000001,0.8104995906894455
Richard C. Shelby,Republican,Alabama,0.5091036000000001,0.9751162902905396
Kyrsten Sinema,Democrat,Arizona,0.4635354000000002,0.9137019167917607
Tina Smith,Democrat,Minnesota,0.3662032000000003,0.7825228031937282
Debbie Stabenow,Democrat,Michigan,0.4258332000000001,0.8628889157839157
Dan Sullivan,Republican,Alaska,0.24932319999999994,0.6249982142361367
Jon Tester,Democrat,Montana,0.42453040000000025,0.8611330718885195
John Thune,Republican,South Dakota,0.28949139999999995,0.6791347576496062
Thom Tillis,Republican,North Carolina,0.18288159999999984,0.5354517928664866
Patrick J. Toomey,Republican,Pennsylvania,0.10713619999999988,0.43336620935837306
Tommy Tuberville,Republican,Alabama,0.19733739999999986,0.5549345440048605
Chris Van Hollen,Democrat,Maryland,0.26006299999999993,0.6394727400787679
Mark R. Warner,Democrat,Virginia,0.3267768,0.7293860179945699
Raphael G. Warnock,Democrat,Georgia,0.5129664000000003,0.980322364744898
Elizabeth Warren,Democrat,Massachusetts,0.219669,0.5850318755480276
Sheldon Whitehouse,Democrat,Rhode Island,0.19884580000000004,0.5569674845420239
Roger F. Wicker,Republican,Mississippi,0.13538820000000013,0.47144273816766374
Ron Wyden,Democrat,Oregon,0.3823476000000003,0.8042813587547047
Todd Young,Republican,Indiana,0.2791159999999998,0.6651513505631019
